,ASP_col
0,223.0
1,229.0
2,229.1
3,224.0
4,218.0
5,209.0
6,200.0
7,191.0
8,183.0
9,176.0
10,170.0
11,164.0
12,159.0
13,154.0
14,149.0
15,145.0
16,140.0
17,137.0
18,134.0
19,132.0
20,130.0
21,128.0
22,126.0
23,123.0
24,120.0
25,117.0
26,113.0
27,108.0
28,104.0
29,100.0
30,95.0
31,91.0
32,86.0
33,82.0
34,78.0
35,74.0
36,71.0
37,68.0
38,66.0
39,63.0
40,61.0
41,60.0
42,59.0
43,58.0
44,57.0
45,56.0
46,55.0
47,54.0
48,54.1
49,53.0
50,53.1
51,52.0
52,51.0
53,51.1
54,50.0
55,49.0
56,48.0
57,47.0
58,46.0
59,45.0
60,44.0
61,43.0
62,44.1
63,48.1
64,57.1
65,73.0
66,94.0
67,117.1
68,142.0
69,165.0
70,182.0
71,195.0
72,201.0
73,203.0
74,202.0
75,123.1
76,123.2
77,122.0
78,121.0
79,119.0
80,116.0
81,112.0
82,108.1
83,103.0
84,99.0
85,94.1
86,88.0
87,83.0
88,78.1
89,74.1
90,70.0
91,66.1
92,62.0
93,59.1
94,56.1
95,54.2
96,53.2
97,51.2
98,50.1
99,49.1
100,48.2
101,47.1
102,46.1
103,46.2
104,45.1
105,44.2
106,44.3
107,43.1
108,42.0
109,42.1
110,41.0
111,40.0
112,39.0
113,38.0
114,37.0
115,36.0
116,35.0
117,36.1
118,42.2
119,54.3
120,74.2
121,99.1
122,126.1
123,155.0
124,180.0
125,200.1
126,215.0
127,223.1
128,226.0
129,225.0
130,220.0
131,214.0
132,207.0
133,200.2
134,193.0
135,125.0
136,121.1
137,117.2
138,112.1
139,107.0
140,101.0
141,96.0
142,90.0
143,85.0
144,80.0
145,75.0
146,70.1
147,66.2
148,62.1
149,59.2
150,56.2
151,53.3
152,52.1
153,50.2
154,49.2
155,48.3
156,47.2
157,46.3
158,45.2
159,43.2
160,42.3
161,42.4
162,41.1
163,40.1
164,39.1
165,37.1
166,36.2
167,35.1
168,34.0
169,33.0
170,32.0
171,31.0
172,31.1
173,33.1
174,40.2
175,54.4
176,74.3
177,100.1
178,130.1
179,159.1
180,157.0
181,152.0
182,147.0
183,142.1
184,138.0
185,136.0
186,133.0
187,131.0
188,129.0
189,127.0
190,124.0
191,121.2
192,117.3
193,113.1
194,108.2
195,103.1
196,99.2
197,94.2
198,88.1
199,83.1
200,79.0
201,74.4
202,70.2
203,67.0
204,64.0
205,62.2
206,60.1
207,58.1
208,56.3
209,55.1
210,54.5
211,53.4
212,52.2
213,51.3
214,51.4
215,50.3
216,49.3
217,49.4
218,48.4
219,47.3
220,47.4
221,46.4
222,46.5
223,45.3
224,44.4
225,43.3
226,43.4
227,45.4
228,52.3
229,65.0
230,83.2
231,106.0
232,131.1
233,156.0
234,177.0
235,193.1
236,203.1
237,207.1
238,206.0
239,202.1
240,195.1
241,187.0
242,179.0
243,171.0
244,164.1
245,158.0
246,152.1
247,146.0
248,141.0
249,136.1
250,131.2
251,128.1
252,125.1
253,123.3
254,121.3
255,120.1
256,119.1
257,118.0
258,116.1
259,114.0
260,111.0
261,108.3
262,104.1
263,100.2
264,95.1
265,90.1
266,84.0
267,79.1
268,75.1
269,70.3
270,66.3
271,62.3
272,59.3
273,56.4
274,54.6
275,52.4
276,51.5
277,50.4
278,49.5
279,47.5
280,46.6
281,45.5
282,45.6
283,44.5
284,44.6
285,43.5
286,43.6
287,43.7
288,42.5
289,42.6
290,41.2
291,40.3
292,39.2
293,39.3
294,43.8
295,52.5
296,68.1
297,90.2
298,115.0
299,143.0
300,158.1
301,154.1
302,149.1
303,145.1
304,141.1
305,137.1
306,134.1
307,132.1
308,129.1
309,127.1
310,125.2
311,123.4
312,119.2
313,115.1
314,111.1
315,105.0
316,100.3
317,95.2
318,89.0
319,84.1
320,79.2
321,74.5
322,70.4
323,66.4
324,63.1
325,59.4
326,56.5
327,54.7
328,52.6
329,50.5
330,49.6
331,48.5
332,47.6
333,46.7
334,44.7
335,43.9
336,43.1
337,42.7
338,41.3
339,40.4
340,40.5
341,39.4
342,38.1
343,37.2
344,36.3
345,35.2
346,33.2
347,33.3
348,34.1
